param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
0.40000000000000013,-1.0,1.0,16.143474990873415,0.9491860870865353
0.8,0.8,-1.0,16.14353024936312,0.9491860870865353
0.8,0.8,-0.8,16.14353482423137,0.9491860870865353
0.8,0.8,-0.6,16.143539339521595,0.9491860870865353
0.8,0.8,-0.3999999999999999,16.143543794889258,0.9491860870865353
0.8,0.8,-0.19999999999999996,16.14354818999193,0.9491860870865353
0.8,0.8,0.0,16.143552524489362,0.9491860870865353
0.8,0.8,0.20000000000000018,16.143556798043537,0.9491860870865353
0.8,0.8,0.40000000000000013,16.14356101031861,0.9491860870865353
0.8,0.8,0.6000000000000001,16.143565160981005,0.9491860870865353
0.8,0.8,0.8,16.143569249699357,0.9491860870865353
0.8,0.8,1.0,16.143573276144647,0.9491860870865353
0.6000000000000001,0.0,-1.0,16.1436688767778,0.9491860870865353
0.6000000000000001,0.0,-0.8,16.143674329129418,0.9491860870865353
0.6000000000000001,0.0,-0.6,16.143679722827585,0.9491860870865353
0.6000000000000001,0.0,-0.3999999999999999,16.143685057512386,0.9491860870865353
0.6000000000000001,0.0,-0.19999999999999996,16.143690332826072,0.9491860870865353
0.6000000000000001,0.0,0.0,16.143695548413003,0.9491860870865353
0.6000000000000001,0.0,0.20000000000000018,16.143700703919677,0.9491860870865353
0.6000000000000001,0.0,0.40000000000000013,16.143705798994823,0.9491860870865353
0.6000000000000001,0.0,0.6000000000000001,16.143710833289298,0.9491860870865353
0.6000000000000001,0.0,0.8,16.143715806456225,0.9491860870865353
0.6000000000000001,0.0,1.0,16.143720718151002,0.9491860870865353
0.40000000000000013,-0.8,-1.0,16.143844965931066,0.9491860870865353
0.40000000000000013,-0.8,-0.8,16.14385129068715,0.9491860870865353
0.40000000000000013,-0.8,-0.6,16.143857557750334,0.9491860870865353
0.40000000000000013,-0.8,-0.3999999999999999,16.143863766745426,0.9491860870865353
0.40000000000000013,-0.8,-0.19999999999999996,16.14386991729929,0.9491860870865353
0.40000000000000013,-0.8,0.0,16.143876009040845,0.9491860870865353
0.40000000000000013,-0.8,0.20000000000000018,16.1438820416012,0.9491860870865353
0.40000000000000013,-0.8,0.40000000000000013,16.143888014613594,0.9491860870865353
0.40000000000000013,-0.8,0.6000000000000001,16.143893927713417,0.9491860870865353
0.40000000000000013,-0.8,0.8,16.143899780538202,0.9491860870865353
0.40000000000000013,-0.8,1.0,16.143905572727824,0.9491860870865353
0.8,1.0,-1.0,16.143975744425948,0.9491860870865353
0.8,1.0,-0.8,16.143980226937604,0.9491860870865353
0.8,1.0,-0.6,16.143984649600696,0.9491860870865353
0.8,1.0,-0.3999999999999999,16.143989012072847,0.9491860870865353
0.8,1.0,-0.19999999999999996,16.143993314013738,0.9491860870865353
0.8,1.0,0.0,16.14399755508524,0.9491860870865353
0.8,1.0,0.20000000000000018,16.144001734951512,0.9491860870865353
0.8,1.0,0.40000000000000013,16.144005853278852,0.9491860870865353
0.8,1.0,0.6000000000000001,16.144009909735818,0.9491860870865353
0.8,1.0,0.8,16.144013903993248,0.9491860870865353
0.8,1.0,1.0,16.144017835724256,0.9491860870865353
0.6000000000000001,0.20000000000000018,-1.0,16.144108157016696,0.9491860870865353
0.6000000000000001,0.20000000000000018,-0.8,16.14411351881321,0.9491860870865353
0.6000000000000001,0.20000000000000018,-0.6,16.144118821683687,0.9491860870865353
0.6000000000000001,0.20000000000000018,-0.3999999999999999,16.14412406527037,0.9491860870865353
0.6000000000000001,0.20000000000000018,-0.19999999999999996,16.144129249217535,0.9491860870865353
0.6000000000000001,0.20000000000000018,0.0,16.144134373171703,0.9491860870865353
0.6000000000000001,0.20000000000000018,0.20000000000000018,16.14413943678156,0.9491860870865353
0.6000000000000001,0.20000000000000018,0.40000000000000013,16.144144439697964,0.9491860870865353
0.6000000000000001,0.20000000000000018,0.6000000000000001,16.14414938157386,0.9491860870865353
0.6000000000000001,0.20000000000000018,0.8,16.144154262064674,0.9491860870865353
0.6000000000000001,0.20000000000000018,1.0,16.144159080827805,0.9491860870865353
0.40000000000000013,-0.6,-1.0,16.14427800195131,0.9491860870865353
0.40000000000000013,-0.6,-0.8,16.144284237985662,0.9491860870865353
0.40000000000000013,-0.6,-0.6,16.14429041605248,0.9491860870865353
0.40000000000000013,-0.6,-0.3999999999999999,16.144296535778622,0.9491860870865353
0.40000000000000013,-0.6,-0.19999999999999996,16.144302596793054,0.9491860870865353
0.40000000000000013,-0.6,0.0,16.144308598726944,0.9491860870865353
0.40000000000000013,-0.6,0.20000000000000018,16.144314541213447,0.9491860870865353
0.40000000000000013,-0.6,0.40000000000000013,16.144320423887955,0.9491860870865353
0.40000000000000013,-0.6,0.6000000000000001,16.144326246388037,0.9491860870865353
0.40000000000000013,-0.6,0.8,16.144332008353377,0.9491860870865353
0.40000000000000013,-0.6,1.0,16.14433770942594,0.9491860870865353
0.6000000000000001,0.40000000000000013,-1.0,16.144548986070465,0.9491860870865353
0.6000000000000001,0.40000000000000013,-0.8,16.14455425707411,0.9491860870865353
0.6000000000000001,0.40000000000000013,-0.6,16.144559468879567,0.9491860870865353
0.6000000000000001,0.40000000000000013,-0.3999999999999999,16.144564621131195,0.9491860870865353
0.6000000000000001,0.40000000000000013,-0.19999999999999996,16.144569713475477,0.9491860870865353
0.6000000000000001,0.40000000000000013,0.0,16.14457474556104,0.9491860870865353
0.6000000000000001,0.40000000000000013,0.20000000000000018,16.144579717038656,0.9491860870865353
